"Year","Month","Commune","Visitors' country of residence - total Arrivals","Visitors' country of residence - total Overnight stays","Switzerland Arrivals","Switzerland Overnight stays","Germany Arrivals","Germany Overnight stays","France Arrivals","France Overnight stays","Italy Arrivals","Italy Overnight stays","Austria Arrivals","Austria Overnight stays","United Kingdom Arrivals","United Kingdom Overnight stays","Irland Arrivals","Irland Overnight stays","Netherlands Arrivals","Netherlands Overnight stays","Belgium Arrivals","Belgium Overnight stays","Luxembourg Arrivals","Luxembourg Overnight stays","Denmark Arrivals","Denmark Overnight stays","Sweden Arrivals","Sweden Overnight stays","Norway Arrivals","Norway Overnight stays","Finland Arrivals","Finland Overnight stays","Spain Arrivals","Spain Overnight stays","Portugal Arrivals","Portugal Overnight stays","Greece Arrivals","Greece Overnight stays","Turkey Arrivals","Turkey Overnight stays","Other European countries Arrivals","Other European countries Overnight stays","Liechtenstein Arrivals","Liechtenstein Overnight stays","Iceland Arrivals","Iceland Overnight stays","Poland Arrivals","Poland Overnight stays","Hungary Arrivals","Hungary Overnight stays","Belarus Arrivals","Belarus Overnight stays","Bulgaria Arrivals","Bulgaria Overnight stays","Malta Arrivals","Malta Overnight stays","Cyprus Arrivals","Cyprus Overnight stays","Chile Arrivals","Chile Overnight stays","United States Arrivals","United States Overnight stays","Canada Arrivals","Canada Overnight stays","Mexico Arrivals","Mexico Overnight stays","Brazil Arrivals","Brazil Overnight stays","Argentina Arrivals","Argentina Overnight stays","Other South American countries Arrivals","Other South American countries Overnight stays","Other Central American countries Arrivals","Other Central American countries Overnight stays","Egypt Arrivals","Egypt Overnight stays","Other North African countries Arrivals","Other North African countries Overnight stays","South Africa Arrivals","South Africa Overnight stays","Other African countries Arrivals","Other African countries Overnight stays","Bahrain Arrivals","Bahrain Overnight stays","Israel Arrivals","Israel Overnight stays","India Arrivals","India Overnight stays","Japan Arrivals","Japan Overnight stays","Other South-East Asian countries Arrivals","Other South-East Asian countries Overnight stays","Qatar Arrivals","Qatar Overnight stays","Kuwait Arrivals","Kuwait Overnight stays","Australia Arrivals","Australia Overnight stays","China Arrivals","China Overnight stays","Hong Kong Arrivals","Hong Kong Overnight stays","Indonesia Arrivals","Indonesia Overnight stays","South Korea Arrivals","South Korea Overnight stays","Malaysia Arrivals","Malaysia Overnight stays","Philippines Arrivals","Philippines Overnight stays","New Zealand, Oceania Arrivals","New Zealand, Oceania Overnight stays","Singapore Arrivals","Singapore Overnight stays","Oman Arrivals","Oman Overnight stays","Taiwan (Chinese Taipei) Arrivals","Taiwan (Chinese Taipei) Overnight stays","Thailand Arrivals","Thailand Overnight stays","Other West Asian countries Arrivals","Other West Asian countries Overnight stays","Estonia Arrivals","Estonia Overnight stays","Latvia Arrivals","Latvia Overnight stays","Lithuania Arrivals","Lithuania Overnight stays","Saudi Arabia Arrivals","Saudi Arabia Overnight stays","United Arab Emirates Arrivals","United Arab Emirates Overnight stays","Croatia Arrivals","Croatia Overnight stays","Romania Arrivals","Romania Overnight stays","Russia Arrivals","Russia Overnight stays","Slovakia Arrivals","Slovakia Overnight stays","Slovenia Arrivals","Slovenia Overnight stays","Czechia Arrivals","Czechia Overnight stays","Ukraine Arrivals","Ukraine Overnight stays","Serbien Arrivals","Serbien Overnight stays"
"2024","January","Kloten",21294,33248,7893,12109,2237,3828,407,713,332,641,285,377,846,1252,175,233,203,379,116,143,23,39,108,169,216,271,67,106,51,93,253,423,118,240,59,120,55,77,410,559,33,43,25,36,171,295,46,73,4,9,18,56,17,29,20,28,3,4,2814,4284,272,388,60,92,213,341,13,20,73,101,75,87,23,26,54,70,48,71,100,143,2,2,411,457,304,569,265,481,347,499,2,2,3,8,402,636,299,445,12,13,52,71,151,179,37,53,28,54,71,129,165,232,7,7,24,35,149,308,44,92,7,8,11,21,20,39,57,86,60,78,33,57,60,112,64,153,15,17,19,33,83,199,68,104,86,101
"2024","January","Opfikon",25988,40260,7315,10408,2380,3656,580,839,428,611,322,508,1191,2365,228,591,160,233,132,220,27,37,139,162,123,156,58,85,36,44,735,912,134,237,135,306,121,165,71,128,12,16,66,73,179,304,68,99,4,6,23,46,10,13,16,83,0,0,2792,5722,296,387,143,182,462,559,13,23,96,156,178,363,29,42,16,35,46,148,148,237,11,13,191,235,416,741,141,233,162,243,965,986,2,6,283,354,331,772,70,184,633,1075,287,368,216,261,39,68,84,156,443,801,230,373,64,112,639,715,56,81,11,13,24,100,17,26,53,77,1273,1308,24,31,114,223,26,36,15,22,22,25,72,131,108,213,54,121
"2024","January","Dübendorf",1355,3162,822,1824,246,540,62,108,53,173,30,153,12,32,0,0,6,9,11,15,1,1,1,1,4,8,3,7,1,1,9,20,4,7,0,0,1,2,2,3,0,0,0,0,9,30,6,13,0,0,1,1,0,0,0,0,0,0,5,12,4,10,0,0,2,4,6,10,4,12,2,2,0,0,0,0,0,0,1,31,0,0,0,0,1,1,3,3,2,2,0,0,2,2,4,9,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,2,2,4,11,9,47,2,7,5,9,0,0,5,11,1,3,2,2
"2024","January","Uster",924,3218,486,1782,162,381,35,74,41,115,9,13,22,96,7,8,24,131,6,13,0,0,0,0,5,7,0,0,0,0,13,93,9,28,2,4,6,12,8,38,1,1,0,0,10,34,1,5,0,0,0,0,0,0,0,0,0,0,4,16,1,3,1,4,3,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,51,14,63,2,14,0,0,0,0,0,0,15,88,4,4,0,0,0,0,0,0,0,0,14,27,0,0,0,0,0,0,5,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,9,0,0,1,4,0,0,2,2
"2024","January","Winterthur",6649,13575,4657,8968,816,1607,140,242,99,237,90,180,142,309,3,6,52,122,16,47,5,5,7,15,19,56,8,18,12,39,61,148,7,20,11,36,24,40,33,48,22,36,0,0,21,89,8,25,0,0,5,7,4,7,2,14,0,0,62,222,7,37,1,3,3,20,0,0,3,8,12,45,1,2,3,9,0,0,5,11,0,0,5,14,17,133,9,27,4,13,0,0,0,0,10,47,43,126,1,1,1,1,13,32,3,11,1,3,2,12,17,89,0,0,0,0,41,60,12,18,1,4,3,15,1,9,2,2,10,35,11,55,34,65,6,48,15,20,0,0,17,46,7,9,2,2
"2024","January","Zürich",131503,242776,43914,72231,13480,24640,3396,5829,3086,5575,1783,3046,8050,14996,587,1223,1403,2691,622,1078,283,493,361,612,689,1214,312,538,275,493,2191,4150,623,1279,843,2287,1610,3205,403,714,140,180,79,141,767,1682,206,401,60,108,156,352,148,337,312,667,176,359,15456,29329,1277,2386,1708,3045,4194,9749,449,1013,711,1447,687,1467,228,575,110,310,303,671,244,514,42,104,865,1655,1490,3434,671,1200,743,1438,281,1018,147,573,3360,6932,2190,3870,410,771,1183,2272,762,1223,458,861,455,1127,286,597,914,2104,33,62,385,629,561,978,467,1189,79,144,91,190,130,275,772,1895,930,2320,216,403,398,895,679,1271,190,319,69,183,228,445,483,921,213,451
"2024","January","Wädenswil",407,723,255,444,75,131,20,30,7,8,10,15,8,13,0,0,2,5,3,5,0,0,2,4,2,4,0,0,1,1,3,5,0,0,0,0,0,0,0,0,2,2,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13,1,1,0,0,0,0,0,0,1,1,6,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2024","January","Horgen",544,878,367,491,91,182,10,13,10,28,12,19,6,7,1,1,4,14,0,0,0,0,5,17,5,11,0,0,0,0,6,20,0,0,0,0,0,0,0,0,2,2,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,1,3,0,0,1,1,0,0,0,0,0,0
"2024","January","Langenthal",1654,2508,1231,1619,205,373,24,47,25,90,33,57,9,16,7,20,23,34,2,2,0,0,5,5,6,12,3,10,3,4,17,44,1,3,0,0,2,6,3,3,0,0,0,0,1,3,2,4,0,0,0,0,0,0,0,0,0,0,20,58,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,4,16,2,10,2,6,0,0,0,0,0,0,5,21,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,4,7,0,0,2,3,0,0,0,0,0,0,1,3,0,0,0,0,0,0,4,13,2,2,1,2
"2024","January","Bern",33118,57953,18958,28728,2946,5978,1099,1733,1125,2230,414,1123,769,1683,44,131,519,995,212,374,50,91,115,231,80,170,60,124,24,70,414,909,165,255,101,200,164,327,88,186,33,49,5,5,100,310,80,192,6,14,45,145,14,27,8,58,39,113,1023,2276,112,226,279,483,553,1178,118,225,114,234,93,169,22,43,31,81,29,136,60,199,6,20,66,169,84,336,143,264,123,228,0,0,11,36,394,871,333,892,62,103,198,367,480,679,75,112,13,30,47,82,104,208,2,6,174,204,111,156,72,155,7,20,14,21,7,19,18,26,32,93,18,78,69,193,71,122,28,105,22,69,83,289,137,286,3,13
