"Jahr","Monat","Gemeinde","Betriebe","Zimmer","Betten","Ankünfte","Logiernächte","Zimmernächte","Zimmerauslastung in %","Bettenauslastung in %"
"2024","Januar","Kloten",7,1387,2599,21294,33248,24548,57,41
"2024","Januar","Opfikon",10,2285,4524,25988,40260,29589,42,29
"2024","Januar","Dübendorf",5,172,273,1355,3162,2351,44,38
"2024","Januar","Uster",5,170,310,924,3218,2515,48,33
"2024","Januar","Winterthur",19,811,1517,6649,13575,10688,43,29
"2024","Januar","Zürich",127,9368,18356,131503,242776,162585,56,43
"2024","Januar","Wädenswil",4,69,122,407,723,520,25,20
"2024","Januar","Horgen",4,88,132,544,878,700,26,22
"2024","Januar","Langenthal",4,147,286,1654,2508,2154,48,29
"2024","Januar","Bern",40,2860,5517,33118,57953,41833,47,34
"2024","Januar","Köniz",5,65,146,388,881,790,44,21
"2024","Januar","Biel/Bienne",8,443,844,3313,5275,4325,31,20
"2024","Januar","Burgdorf",4,100,242,771,1219,792,35,22
"2024","Januar","Adelboden",18,693,1453,8807,22970,13495,63,51
"2024","Januar","Aeschi bei Spiez",4,76,148,662,789,458,19,17
"2024","Januar","Kandersteg",12,322,649,4348,9012,4750,48,45
"2024","Januar","Reichenbach im Kandertal",9,152,404,889,1665,984,27,17
"2024","Januar","Beatenberg",10,310,739,3250,7477,3606,38,33
"2024","Januar","Brienz (BE)",11,282,597,1485,2561,1407,16,14
"2024","Januar","Grindelwald",47,1646,3617,26969,64326,32817,64,57
"2024","Januar","Interlaken",27,1602,3469,21053,41419,22663,47,40
"2024","Januar","Lauterbrunnen",41,1273,2762,13579,44029,24802,63,52
"2024","Januar","Matten bei Interlaken",4,134,238,959,1648,1020,25,22
"2024","Januar","Unterseen",12,349,801,3741,7586,3767,44,38
"2024","Januar","Wilderswil",9,313,645,3461,6594,3731,39,33
"2024","Januar","Moutier (BE)",3,34,66,91,251,224,24,14
"2024","Januar","Diemtigen",6,85,214,488,978,529,21,15
"2024","Januar","Spiez",12,412,733,4059,6829,4298,34,30
"2024","Januar","Hasliberg",12,317,717,4201,10605,4620,47,48
"2024","Januar","Innertkirchen",5,118,281,213,484,251,11,9
"2024","Januar","Meiringen",11,296,700,2232,4826,2729,32,24
"2024","Januar","Lenk",15,431,826,6388,14460,8355,63,57
"2024","Januar","Saanen",29,1139,2324,15685,43653,24433,69,61
"2024","Januar","Langnau im Emmental",4,47,92,330,504,378,27,18
"2024","Januar","Schangnau",4,58,116,1005,1276,721,40,35
"2024","Januar","Sigriswil",9,288,540,3283,6945,3878,45,43
"2024","Januar","Thun",16,477,808,4806,8729,6233,44,37
"2024","Januar","Herzogenbuchsee",3,41,75,177,305,219,18,13
"2024","Januar","Emmen",3,250,342,724,1762,1670,22,17
"2024","Januar","Kriens",4,258,551,3876,6049,3279,41,35
"2024","Januar","Luzern",51,3132,6168,32862,59395,39213,42,32
"2024","Januar","Meggen",3,34,68,213,417,234,34,30
"2024","Januar","Vitznau",5,226,527,894,2491,1629,23,15
"2024","Januar","Weggis",19,712,1316,4146,9158,5987,28,23
"2024","Januar","Sursee",5,139,240,1489,2739,2035,48,37
"2024","Januar","Andermatt",13,487,1101,5321,15288,7317,48,45
"2024","Januar","Gurtnellen",4,35,113,319,368,176,16,11
"2024","Januar","Einsiedeln",6,203,448,1121,2405,1688,27,17
"2024","Januar","Feusisberg",5,216,421,2194,4266,3021,45,33
"2024","Januar","Freienbach",5,212,350,2009,3613,2707,41,33
"2024","Januar","Küssnacht (SZ)",6,142,265,1018,2053,1709,39,25
"2024","Januar","Ingenbohl",6,221,415,1370,2318,1567,23,18
"2024","Januar","Morschach",9,485,1417,9579,20773,8922,60,48
"2024","Januar","Schwyz",9,132,313,627,1282,799,21,15
"2024","Januar","Engelberg",26,954,1986,11575,27646,14438,49,45
"2024","Januar","Sachseln",7,196,363,1160,2690,1657,28,25
"2024","Januar","Sarnen",7,203,352,1780,3609,2571,41,33
"2024","Januar","Beckenried",6,103,265,1290,2084,1178,37,25
"2024","Januar","Emmetten",5,163,364,807,1423,832,17,13
"2024","Januar","Glarus Nord",10,299,692,2264,4600,2861,31,21
"2024","Januar","Glarus Süd",21,272,632,2309,5466,2824,38,31
"2024","Januar","Unterägeri",4,108,188,549,1805,1321,39,31
"2024","Januar","Zug",9,420,730,2774,8462,7191,57,39
"2024","Januar","Haut-Intyamon",3,31,64,182,297,189,20,15
"2024","Januar","Bulle",5,224,434,2310,4108,3305,48,31
"2024","Januar","Gruyères",6,96,258,1023,1464,737,29,23
"2024","Januar","Fribourg",7,269,528,3103,4562,3610,47,30
"2024","Januar","Murten",7,127,220,1301,1613,1231,36,28
"2024","Januar","Plaffeien",4,99,255,977,1908,989,32,24
"2024","Januar","Egerkingen",4,217,392,2142,2997,2236,33,25
"2024","Januar","Grenchen",4,77,163,624,1125,937,39,22
"2024","Januar","Olten",7,287,514,2656,4143,3547,44,28
"2024","Januar","Solothurn",10,306,589,3524,6357,4900,52,35
"2024","Januar","Basel",58,4563,9027,44265,83342,60070,44,31
"2024","Januar","Liestal",5,162,297,817,1432,1209,25,16
"2024","Januar","Pratteln",5,286,645,3690,5624,4193,48,28
"2024","Januar","Schaffhausen",12,398,761,2722,5704,4522,38,25
"2024","Januar","Hundwil",4,79,187,1338,1790,1103,46,31
"2024","Januar","Gais",5,184,273,349,486,420,7,6
"2024","Januar","Teufen (AR)",4,41,73,165,364,274,26,19
"2024","Januar","Heiden",5,98,190,1127,2397,1467,49,41
"2024","Januar","Appenzell",9,182,396,923,1603,1002,24,18
"2024","Januar","Gonten",5,70,150,698,1502,1028,48,33
"2024","Januar","St. Gallen",23,1106,2057,8767,17057,12271,36,27
"2024","Januar","Rorschacherberg",3,104,188,723,1157,818,28,22
"2024","Januar","Altstätten",4,81,148,355,735,627,28,18
"2024","Januar","Buchs (SG)",6,165,295,1068,1950,1452,28,21
"2024","Januar","Bad Ragaz",13,505,1040,4947,13331,8701,56,42
"2024","Januar","Flums",6,107,214,1594,3390,1841,57,53
"2024","Januar","Quarten",10,231,554,2556,5611,2669,39,34
"2024","Januar","Walenstadt",3,46,85,195,685,403,44,39
"2024","Januar","Amden",6,89,198,672,1189,678,27,21
"2024","Januar","Rapperswil-Jona",6,195,364,1427,2737,2545,42,24
"2024","Januar","Eschenbach (SG)",4,22,42,28,71,45,9,7
