slug,name,canton,tourism_region,lat,lon,center_lat,center_lon,main_station_name,place_type,active,name_original,main_station_name_original,station_id,station_api_name,station_api_id,station_api_status
aarau,Aarau,AG,Aargau,47.400588,8.060699,47.400588,8.060699,Aarau,city,true,Aarau,Aarau,8502113,Aarau,8502113,OK
baden,Baden,AG,Aargau,47.474085,8.300145,47.474085,8.300145,Baden,city,true,Baden,Baden,8503504,Baden,8503504,OK
lenzburg,Lenzburg,AG,Aargau,47.3879,8.176359,47.3879,8.176359,Lenzburg,town,true,Lenzburg,Lenzburg,8502119,Lenzburg,8502119,OK
rheinfelden,Rheinfelden,AG,Aargau,47.551678,7.792223,47.551678,7.792223,Rheinfelden,town,true,Rheinfelden,Rheinfelden,8500301,Rheinfelden,8500301,OK
zofingen,Zofingen,AG,Aargau,47.286295,7.946293,47.286295,7.946293,Zofingen,town,true,Zofingen,Zofingen,8502001,Zofingen,8502001,OK
appenzell,Appenzell,AI,Appenzell Innerrhoden,47.331281,9.405773,47.331281,9.405773,"Appenzell, Hirschberg Station",town,true,Appenzell,"Appenzell, Hirschberg Station",8581183,"Appenzell, Hirschberg Station",8581183,OK
gonten,Gonten,AI,Appenzell Innerrhoden,47.327706,9.345392,47.327706,9.345392,Gonten,town,true,Gonten,Gonten,8506285,Gonten,8506285,OK
gais,Gais,AR,Appenzell Ausserrhoden,47.362735,9.456313,47.362735,9.456313,Gais,town,true,Gais,Gais,8506378,Gais,8506378,OK
heiden,Heiden,AR,Appenzell Ausserrhoden,47.442595,9.532641,47.442595,9.532641,Heiden,town,true,Heiden,Heiden,8506355,Heiden,8506355,OK
hundwil,Hundwil,AR,Appenzell Ausserrhoden,47.357837,9.318546,47.357837,9.318546,"Hundwil, Dorf",town,true,Hundwil,"Hundwil, Dorf",8506759,"Hundwil, Dorf",8506759,OK
teufen,Teufen,AR,Appenzell Ausserrhoden,47.39214,9.366141,47.39214,9.366141,"Teufen AR, Bahnhof",town,true,Teufen,"Teufen AR, Bahnhof",8574066,"Teufen AR, Bahnhof",8574066,OK
adelboden,Adelboden,BE,Bern,46.491043,7.563025,46.491043,7.563025,Adelboden Oey (Sillerenbahn),resort,true,Adelboden,Adelboden Oey (Sillerenbahn),8530309,Adelboden Oey (Sillerenbahn),8530309,OK
aeschi-bei-spiez,Aeschi bei Spiez,BE,Bern,46.655296,7.700065,46.655296,7.700065,Spiez Schiffstation,town,true,Aeschi bei Spiez,Spiez Schiffstation,8507154,Spiez Schiffstation,8507154,OK
beatenberg,Beatenberg,BE,Bern,46.696756,7.796675,46.696756,7.796675,Beatenberg,resort,true,Beatenberg,Beatenberg,8507192,Beatenberg,8507192,OK
bern,Bern,BE,Bern,46.972014,7.445886,46.972014,7.445886,Bern,city,true,Bern,Bern,8507000,Bern,8507000,OK
biel-bienne,Biel/Bienne,BE,Bern,47.142049,7.248082,47.142049,7.248082,Biel/Bienne,city,true,Biel/Bienne,Biel/Bienne,8504300,Biel/Bienne,8504300,OK
brienz,Brienz,BE,Bern,46.737079,7.961096,46.737079,7.961096,Brienz,town,true,Brienz,Brienz,8508305,Brienz,8508305,OK
buchs,Buchs,SG,St. Gallen,47.16882,9.47265,47.16882,9.47265,Buchs SG,town,true,Buchs,Buchs SG,8509410,Buchs SG,8509410,OK
burgdorf,Burgdorf,BE,Bern,47.057389,7.619755,47.057389,7.619755,Burgdorf,city,true,Burgdorf,Burgdorf,8508005,Burgdorf,8508005,OK
diemtigen,Diemtigen,BE,Bern,46.648967,7.56511,46.648967,7.56511,"Diemtigen, Katzenlochbrücke",town,true,Diemtigen,"Diemtigen, Katzenlochbrücke",8582970,"Diemtigen, Katzenlochbrücke",8582970,OK
grindelwald,Grindelwald,BE,Bern,46.626377,8.031125,46.626377,8.031125,Grindelwald,resort,true,Grindelwald,Grindelwald,8507380,Grindelwald,8507380,OK
hasliberg,Hasliberg,BE,Bern,46.749729,8.175997,46.749729,8.175997,Hasliberg Twing (Gondelbahn),town,true,Hasliberg,Hasliberg Twing (Gondelbahn),8530349,Hasliberg Twing (Gondelbahn),8530349,OK
herzogenbuchsee,Herzogenbuchsee,BE,Bern,47.189041,7.7064,47.189041,7.7064,Herzogenbuchsee,town,true,Herzogenbuchsee,Herzogenbuchsee,8508008,Herzogenbuchsee,8508008,OK
innertkirchen,Innertkirchen,BE,Bern,46.703717,8.234644,46.703717,8.234644,Innertkirchen Kraftwerk (Bahn),town,true,Innertkirchen,Innertkirchen Kraftwerk (Bahn),8508359,Innertkirchen Kraftwerk (Bahn),8508359,OK
interlaken,Interlaken,BE,Bern,46.684719,7.860083,46.684719,7.860083,Interlaken (Heimwehfluhbahn),resort,true,Interlaken,Interlaken West,8507496,Interlaken West,8507496,OK
kandersteg,Kandersteg,BE,Bern,46.494493,7.674022,46.494493,7.674022,Kandersteg,town,true,Kandersteg,Kandersteg,8507475,Kandersteg,8507475,OK
koeniz,Köniz,BE,Bern,46.922727,7.41458,46.922727,7.41458,Köniz,town,true,Köniz,Köniz,8507083,Köniz,8507083,OK
langenthal,Langenthal,BE,Bern,47.212507,7.784611,47.212507,7.784611,Langenthal,town,true,Langenthal,Langenthal,8508100,Langenthal,8508100,OK
langnau-im-emmental,Langnau im Emmental,BE,Bern,46.940735,7.786411,46.940735,7.786411,Marbach (Talstation),town,true,Langnau im Emmental,Marbach (Talstation),8530351,Marbach (Talstation),8530351,OK
lauterbrunnen,Lauterbrunnen,BE,Bern,46.59486,7.908855,46.59486,7.908855,Lauterbrunnen,town,true,Lauterbrunnen,Lauterbrunnen,8507384,Lauterbrunnen,8507384,OK
lenk,Lenk,BE,Bern,46.454714,7.445305,46.454714,7.445305,Lenk (Talstation Leiterli),town,true,Lenk,Lenk (Talstation Leiterli),8530268,Lenk (Talstation Leiterli),8530268,OK
matten-bei-interlaken,Matten bei Interlaken,BE,Bern,46.679604,7.866461,46.679604,7.866461,Interlaken West,town,true,Matten bei Interlaken,Interlaken West,8507496,Interlaken West,8507496,ERROR: HTTP_429
meiringen,Meiringen,BE,Bern,46.728581,8.181373,46.728581,8.181373,Meiringen,town,true,Meiringen,Meiringen,8508308,Meiringen,8508308,OK
moutier-be,Moutier (BE),BE,Bern,47.277359,7.369148,47.277359,7.369148,Moutier,town,true,Moutier (BE),Moutier,8500105,Moutier,8500105,OK
reichenbach-im-kandertal,Reichenbach im Kandertal,BE,Bern,46.621397,7.689848,46.621397,7.689848,Reichenbach im Kandertal,town,true,Reichenbach im Kandertal,Reichenbach im Kandertal,8507480,Reichenbach im Kandertal,8507480,OK
saanen,Saanen,BE,Bern,46.4891,7.261852,46.4891,7.261852,Saanen,resort,true,Saanen,Saanen,8501398,Saanen,8501398,OK
schangnau,Schangnau,BE,Bern,46.820397,7.87506,46.820397,7.87506,"Schangnau, Stein",town,true,Schangnau,"Schangnau, Stein",8572866,"Schangnau, Stein",8572866,OK
sigriswil,Sigriswil,BE,Bern,46.716439,7.718841,46.716439,7.718841,"Sigriswil, Endorf",town,true,Sigriswil,"Sigriswil, Endorf",8576745,"Sigriswil, Endorf",8576745,OK
spiez,Spiez,BE,Bern,46.685867,7.677481,46.685867,7.677481,Spiez,town,true,Spiez,Spiez,8507483,Spiez,8507483,OK
thun,Thun,BE,Bern,46.740612,7.619927,46.740612,7.619927,Thun,city,true,Thun,Thun,8507100,Thun,8507100,OK
unterseen,Unterseen,BE,Bern,46.685376,7.842638,46.685376,7.842638,"Unterseen, am Lauener",town,true,Unterseen,"Unterseen, am Lauener",8579806,"Unterseen, am Lauener",8579806,OK
wilderswil,Wilderswil,BE,Bern,46.663637,7.863826,46.663637,7.863826,Wilderswil,town,true,Wilderswil,Wilderswil,8507388,Wilderswil,8507388,OK
liestal,Liestal,BL,Basel-Landschaft,47.483584,7.734733,47.483584,7.734733,Liestal,town,true,Liestal,Liestal,8500023,Liestal,8500023,OK
pratteln,Pratteln,BL,Basel-Landschaft,47.519951,7.694931,47.519951,7.694931,Pratteln,town,true,Pratteln,Pratteln,8500021,Pratteln,8500021,OK
basel,Basel,BS,Basel-Stadt,47.556219,7.588965,47.556219,7.588965,Basel SBB,city,true,Basel,Basel SBB,8500010,Basel SBB,8500010,OK
bulle,Bulle,FR,Fribourg,46.620551,7.056652,46.620551,7.056652,Bulle,city,true,Bulle,Bulle,8504086,Bulle,8504086,OK
fribourg,Fribourg,FR,Fribourg,46.80514,7.155297,46.80514,7.155297,Fribourg/Freiburg,city,true,Fribourg,Fribourg/Freiburg,8504100,Fribourg/Freiburg,8504100,OK
gruyeres,Gruyères,FR,Fribourg,46.582788,7.081708,46.582788,7.081708,Gruyères,town,true,Gruyères,Gruyères,8504077,Gruyères,8504077,OK
haut-intyamon,Haut-Intyamon,FR,Fribourg,46.516167,7.054654,46.516167,7.054654,St-Légier-Gare,town,true,Haut-Intyamon,St-Légier-Gare,8501280,St-Légier-Gare,8501280,OK
murten,Murten,FR,Fribourg,46.926161,7.120111,46.926161,7.120111,Murten/Morat,city,true,Murten,Murten/Morat,8504128,Murten/Morat,8504128,OK
plaffeien,Plaffeien,FR,Fribourg,46.735043,7.289864,46.735043,7.289864,"Plaffeien, Telmoos",town,true,Plaffeien,"Plaffeien, Telmoos",8577845,"Plaffeien, Telmoos",8577845,OK
geneve,Genève,GE,Genève,46.209806,6.143926,46.209806,6.143926,Genève,city,true,Genève,Genève,8501008,Genève,8501008,OK
lancy,Lancy,GE,Genève,46.191594,6.117375,46.191594,6.117375,Lancy-Pont-Rouge,town,true,Lancy,Lancy-Pont-Rouge,8516155,Lancy-Pont-Rouge,8516155,OK
meyrin,Meyrin,GE,Genève,46.230262,6.077167,46.230262,6.077167,Meyrin,town,true,Meyrin,Meyrin,8501006,Meyrin,8501006,OK
vernier,Vernier,GE,Genève,46.213064,6.080527,46.213064,6.080527,Vernier,town,true,Vernier,Vernier,8501007,Vernier,8501007,OK
glarus-nord,Glarus Nord,GL,Glarus,47.098335,9.059024,47.098335,9.059024,Kies (Talstation),town,true,Glarus Nord,Kies (Talstation),8530517,Kies (Talstation),8530517,OK
glarus-sued,Glarus Süd,GL,Glarus,47.011277,9.079571,47.011277,9.079571,Kies (Talstation),town,true,Glarus Süd,Kies (Talstation),8530517,Kies (Talstation),8530517,OK
arosa,Arosa,GR,Graubünden,46.7805,9.676924,46.7805,9.676924,Arosa,resort,true,Arosa,Arosa,8509157,Arosa,8509157,OK
soglio,Soglio,GR,Graubünden,46.342146,9.539355,46.342146,9.539355,"Soglio, Paese",town,true,Bregaglia,"Soglio, Villaggio",8509883,"Soglio, Paese",8509883,OK
breil-brigels,Breil/Brigels,GR,Graubünden,46.770307,9.061732,46.770307,9.061732,"Breil/Brigels, Pundual",town,true,Breil/Brigels,"Breil/Brigels, Pundual",8581166,"Breil/Brigels, Pundual",8581166,OK
celerina-schlarigna,Celerina/Schlarigna,GR,Graubünden,46.512331,9.857862,46.512331,9.857862,Celerina,town,true,Celerina/Schlarigna,Celerina,8509252,Celerina,8509252,OK
chur,Chur,GR,Graubünden,46.856573,9.529349,46.856573,9.529349,Chur,city,true,Chur,Chur,8509000,Chur,8509000,ok
davos,Davos,GR,Graubünden,46.757618,9.829391,46.757618,9.829391,"Davos Platz, Bahnhof",resort,true,Davos,"Davos Platz, Bahnhof",8575116,"Davos Platz, Bahnhof",8575116,OK
flims,Flims,GR,Graubünden,46.837136,9.285988,46.837136,9.285988,Flims Dorf (Talstation Foppa),resort,true,Flims,Flims Dorf (Talstation Foppa),8509164,Flims Dorf (Talstation Foppa),8509164,OK
ilanz-glion,Ilanz/Glion,GR,Graubünden,46.730564,9.220978,46.730564,9.220978,Obersaxen Valata (Talstation),town,true,Ilanz/Glion,Obersaxen Valata (Talstation),8530562,Obersaxen Valata (Talstation),8530562,OK
klosters,Klosters,GR,Graubünden,46.868223,9.889748,46.868223,9.889748,"Klosters Platz, Bahnhof",town,true,Klosters,"Klosters Platz, Bahnhof",8594551,"Klosters Platz, Bahnhof",8594551,OK
laax,Laax,GR,Graubünden,46.80889,9.264906,46.80889,9.264906,Laax Murschetg (Talstation),town,true,Laax,Laax Murschetg (Talstation),8530785,Laax Murschetg (Talstation),8530785,OK
lumnezia,Lumnezia,GR,Graubünden,46.719999,9.196176,46.719999,9.196176,Obersaxen Valata (Talstation),town,true,Lumnezia,Obersaxen Valata (Talstation),8530562,Obersaxen Valata (Talstation),8530562,OK
